id,room_type,price_per_night,minimum_nights,rating,number_of_reviews,availability,neighbourhood_group,neighbourhood,latitude,longitude
881333052483713671,Entire home/apt,121,30,0.0,0,5,Manhattan,Hell's Kitchen,40.7585475,-73.99122799999999
880478634300478161,Entire home/apt,181,1,5.0,4,358,Queens,Jamaica,40.68266379855874,-73.78192793729075
881361770950607277,Private room,111,1,0.0,2,352,Queens,Flushing,40.75713694266302,-73.81348864217891
882473433648692369,Entire home/apt,250,7,0.0,1,155,Manhattan,Upper West Side,40.78344638777119,-73.97794739698242
880491506694421345,Entire home/apt,197,1,4.8,10,133,Brooklyn,Greenpoint,40.72497361666908,-73.94847636154459
882480223677449587,Entire home/apt,90,28,0.0,0,365,Bronx,Melrose,40.823832333312126,-73.91604714095592
881373748568820077,Private room,52,30,0.0,0,306,Brooklyn,Prospect-Lefferts Gardens,40.65923,-73.94873
880492416678821473,Entire home/apt,165,1,0.0,1,202,Queens,College Point,40.79229174125168,-73.84007582970672
881382084653653858,Private room,55,5,4.33,3,334,Bronx,Claremont Village,40.84391,-73.90736
881383843115840740,Private room,55,5,0.0,1,302,Bronx,Claremont Village,40.842869,-73.90655
882492623995991916,Entire home/apt,109,30,0.0,0,364,Manhattan,Hell's Kitchen,40.75749618068116,-73.99504602617766
880510542191070587,Entire home/apt,180,7,0.0,2,312,Manhattan,Harlem,40.82774575768256,-73.94920695124101
883396326635029752,Private room,60,1,0.0,0,174,Bronx,Throgs Neck,40.82981,-73.82464
882495408207604385,Private room,34,30,0.0,0,289,Bronx,Fordham,40.86768555493372,-73.88697503868927
881384171635357208,Entire home/apt,121,2,0.0,1,343,Queens,Bellerose,40.73446649948496,-73.71383550897005
883404921227567663,Private room,49,1,0.0,1,41,Queens,Jamaica,40.68580822781108,-73.79015177342548
881391432716976372,Private room,59,1,4.83,6,49,Brooklyn,Mill Basin,40.61082952754783,-73.92263979643648
881408547958149812,Entire home/apt,99,30,0.0,0,262,Bronx,Woodlawn,40.901537462958416,-73.86427850934146
882504391136032815,Entire home/apt,225,10,0.0,0,217,Brooklyn,Greenpoint,40.7319162,-73.9607595
882505800923514909,Private room,80,3,4.75,4,356,Brooklyn,Brownsville,40.67532013993871,-73.9068052703924
883434085200423308,Private room,115,30,0.0,0,298,Brooklyn,Downtown Brooklyn,40.68976757861503,-73.98478569147855
882506099513752623,Entire home/apt,257,31,0.0,0,318,Manhattan,Kips Bay,40.740129,-73.9815163
881414660645896635,Entire home/apt,228,1,0.0,1,357,Queens,Flushing,40.74075851882385,-73.82389827709952
883443215051312945,Entire home/apt,120,1,0.0,2,342,Queens,Maspeth,40.7150368,-73.9096083
881555584509623170,Private room,458,1,0.0,0,300,Manhattan,Theater District,40.75642748366064,-73.98368796556856
882518569021674881,Entire home/apt,225,7,0.0,1,171,Manhattan,Hell's Kitchen,40.76096865907712,-73.99779406849586
883445057858262127,Private room,85,1,3.75,4,356,Queens,Flushing,40.7681844456628,-73.82597375098283
882522731362408989,Entire home/apt,86,3,0.0,2,352,Queens,Springfield Gardens,40.6876107,-73.7496014
881751900445395486,Entire home/apt,120,90,0.0,0,90,Manhattan,Financial District,40.7047955,-74.0076151
883536914437057720,Entire home/apt,175,30,0.0,0,276,Brooklyn,Brooklyn Heights,40.69351,-73.99467
881776371688595302,Entire home/apt,225,30,0.0,0,215,Manhattan,Upper West Side,40.79308096710677,-73.96700716116374
882549893727590653,Entire home/apt,200,1,0.0,0,203,Manhattan,Upper East Side,40.766286344136695,-73.95656088242244
882558183611147759,Private room,75,5,0.0,0,339,Brooklyn,Bedford-Stuyvesant,40.676886350231335,-73.91814150221984
883555927488623454,Entire home/apt,185,1,0.0,0,138,Brooklyn,Crown Heights,40.665339075022665,-73.93114864826202
882559712572288906,Entire home/apt,242,2,4.33,3,229,Brooklyn,Crown Heights,40.67454878596923,-73.93166551107379
881778131256625615,Entire home/apt,325,1,0.0,0,336,Manhattan,Upper East Side,40.78249601798174,-73.95115917209395
883556975188716639,Entire home/apt,139,1,3.75,4,175,Bronx,Kingsbridge,40.87790878606617,-73.9054424013062
883592264990430069,Entire home/apt,250,2,0.0,1,131,Manhattan,Harlem,40.81657054670449,-73.93961714575298
881783720295743112,Entire home/apt,70,30,0.0,0,0,Manhattan,Midtown,40.7494685,-73.9874481
882573523563771776,Entire home/apt,156,1,0.0,0,8,Manhattan,Upper East Side,40.76505916733527,-73.96123405058734
882577202831874288,Private room,80,3,5.0,3,361,Brooklyn,Brownsville,40.67376642230996,-73.90888962164045
882578238939891122,Private room,54,30,0.0,0,357,Manhattan,East Harlem,40.807482871741534,-73.9393739454799
883607653341164621,Entire home/apt,64,30,0.0,0,271,Brooklyn,East New York,40.660302915713295,-73.89087716475342
881805988134105830,Private room,189,2,0.0,1,49,Brooklyn,Williamsburg,40.720197,-73.96261489999999
883642328928680325,Entire home/apt,1027,3,0.0,0,309,Manhattan,East Village,40.72506665235001,-73.97702802812344
882578756362161695,Private room,84,30,0.0,0,181,Manhattan,Harlem,40.81668797187845,-73.9425339992429
883663713468143470,Entire home/apt,272,1,0.0,0,42,Manhattan,Lower East Side,40.7192405639307,-73.9877708403409
882581053389029523,Private room,54,30,0.0,0,340,Manhattan,East Harlem,40.80755,-73.93716
881806004898184580,Entire home/apt,300,5,0.0,0,47,Brooklyn,Cypress Hills,40.6806037,-73.89502499999999
881806490821871909,Entire home/apt,156,1,4.5,4,172,Queens,South Ozone Park,40.6693939,-73.802921
883689494720317874,Shared room,46,1,5.0,6,363,Brooklyn,Cypress Hills,40.687330074030726,-73.87527766953583
881807336325399036,Private room,100,1,4.8,5,360,Bronx,Tremont,40.84145725225966,-73.89244189325322
881809419138228830,Private room,139,10,0.0,0,118,Brooklyn,Crown Heights,40.67383252477909,-73.96020446562598
882581780295689719,Private room,54,30,0.0,0,342,Manhattan,East Harlem,40.80782011976995,-73.93742000238063
882583081622438125,Private room,54,30,0.0,0,336,Manhattan,East Harlem,40.80899706798296,-73.93937228473011
883694427154365791,Entire home/apt,391,1,0.0,0,284,Manhattan,Upper West Side,40.78286188072413,-73.98137719838097
882587461399895772,Private room,80,3,4.67,3,361,Brooklyn,Brownsville,40.6746995812202,-73.90871769116475
881815895437767923,Private room,100,1,0.0,2,365,Bronx,Tremont,40.843207104298834,-73.89404563270178
883694942579023598,Entire home/apt,391,1,0.0,0,284,Manhattan,Upper West Side,40.78291,-73.97926
881831771233930901,Entire home/apt,250,3,0.0,1,16,Manhattan,Hell's Kitchen,40.76244784538538,-73.99043632850386
882587578787541604,Private room,50,30,0.0,0,343,Manhattan,East Harlem,40.809645327033,-73.93731363252664
883697008263155271,Entire home/apt,605,1,0.0,0,323,Manhattan,Upper West Side,40.78152042925006,-73.9815105868491
882588746071447106,Private room,50,30,0.0,0,354,Manhattan,East Harlem,40.808253275232296,-73.9394143540535
883697462080064656,Entire home/apt,605,1,0.0,0,323,Manhattan,Upper West Side,40.78115656769792,-73.98066014034788
881833807041399112,Private room,75,1,5.0,3,0,Manhattan,Harlem,40.82486871280019,-73.94142288381208
881850516071417144,Shared room,50,1,0.0,0,5,Manhattan,Chelsea,40.75295406605225,-73.9971296358063
883706872911582191,Entire home/apt,1208,1,0.0,0,323,Manhattan,Upper West Side,40.78124430208661,-73.981373395613
